Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:47.643,False,(0.13;20.95;-83.55),(-11.29;-34.25;47.43),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.655,False,(0.13;20.95;-83.56),(-11.17;-33.36;45.55),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.667,False,(0.12;20.95;-83.56),(-11.37;-32.86;43.95),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.677,False,(0.12;20.95;-83.57),(-11.61;-32.56;42.41),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.689,False,(0.12;20.96;-83.57),(-11.74;-32.02;40.55),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.699,False,(0.12;20.96;-83.58),(-12.05;-31.41;38.12),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.710,False,(0.12;20.96;-83.58),(-12.33;-30.94;35.86),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.721,False,(0.12;20.96;-83.59),(-12.72;-30.91;33.90),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.733,False,(0.12;20.96;-83.59),(-13.14;-31.02;32.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.744,False,(0.11;20.97;-83.60),(-13.75;-31.62;30.87),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.755,False,(0.11;20.97;-83.61),(-14.34;-31.87;29.25),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.766,False,(0.11;20.97;-83.61),(-15.17;-32.06;26.67),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.777,False,(0.11;20.98;-83.62),(-15.98;-32.23;24.11),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.789,False,(0.11;20.98;-83.63),(-16.84;-32.45;22.43),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.800,False,(0.11;20.99;-83.63),(-17.87;-32.86;22.46),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.810,False,(0.11;21.00;-83.64),(-19.04;-33.27;23.00),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.821,False,(0.11;21.01;-83.64),(-20.28;-33.78;23.77),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.833,False,(0.11;21.01;-83.65),(-21.43;-34.38;24.86),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.843,False,(0.11;21.02;-83.65),(-22.69;-35.17;26.83),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.854,False,(0.11;21.03;-83.65),(-24.11;-35.88;28.72),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.866,False,(0.12;21.05;-83.66),(-25.69;-36.61;30.50),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.877,False,(0.12;21.06;-83.66),(-27.32;-37.21;32.23),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.888,False,(0.12;21.07;-83.66),(-28.95;-37.59;33.81),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.899,False,(0.13;21.08;-83.66),(-30.42;-37.96;35.43),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.910,False,(0.13;21.09;-83.66),(-31.87;-38.09;37.03),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.922,False,(0.14;21.10;-83.66),(-33.09;-38.07;38.46),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.932,False,(0.14;21.12;-83.66),(-34.40;-38.23;40.08),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
