Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-06 20:07:34.688,False,(0.63;22.09;-85.72),(-49.32;-41.99;28.06),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.699,False,(0.65;22.11;-85.77),(-49.07;-43.04;28.97),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.710,False,(0.67;22.15;-85.80),(-48.67;-43.82;29.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.720,False,(0.56;21.50;-85.02),(-44.88;-41.16;24.49),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.731,False,(1.20;20.99;-85.55),(-48.67;-39.99;23.80),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.744,False,(1.23;20.98;-85.59),(-48.55;-40.67;24.32),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.755,False,(1.26;20.97;-85.63),(-48.37;-41.60;25.30),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.765,False,(1.27;20.94;-85.68),(-47.91;-43.08;26.83),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.777,False,(1.30;20.94;-85.72),(-47.64;-43.31;26.84),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.787,False,(1.31;20.91;-85.77),(-47.31;-44.39;28.28),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.799,False,(1.34;20.90;-85.81),(-46.92;-44.65;28.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.809,False,(1.36;20.89;-85.85),(-46.24;-45.63;28.92),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.820,False,(1.39;20.88;-85.89),(-45.89;-45.98;28.91),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.832,False,(1.42;20.87;-85.93),(-45.75;-46.28;29.15),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.843,False,(1.46;20.87;-85.96),(-45.71;-46.39;28.96),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.854,False,(1.49;20.86;-86.01),(-45.67;-46.52;28.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.865,False,(1.52;20.84;-86.05),(-45.55;-47.00;29.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.877,False,(1.54;20.84;-86.09),(-45.58;-46.95;28.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.888,False,(1.57;20.83;-86.13),(-45.46;-47.37;29.19),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.898,False,(1.60;20.82;-86.17),(-45.54;-47.34;29.04),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.909,False,(1.60;20.80;-86.22),(-45.25;-48.09;30.19),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:07:34.920,False,(1.63;20.79;-86.27),(-45.31;-48.18;30.10),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
